"filename", "language", "CSS", "SCSS", "PHP", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\HTML\Admin\ADMIN_Core.php", "PHP", 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\xampp\htdocs\fd\resources\HTML\Admin\Images\ADMIN_images.css", "CSS", 120, 0, 0, 0, 0, 0, 0, 3, 123
"c:\xampp\htdocs\fd\resources\HTML\Admin\Images\ADMIN_images.scss", "SCSS", 0, 122, 0, 0, 0, 0, 1, 7, 130
"c:\xampp\htdocs\fd\resources\HTML\Admin\balance.php", "PHP", 0, 0, 20, 0, 0, 0, 0, 1, 21
"c:\xampp\htdocs\fd\resources\HTML\Admin\balance\ADMIN_balance.css", "CSS", 20, 0, 0, 0, 0, 0, 0, 7, 27
"c:\xampp\htdocs\fd\resources\HTML\Admin\couponCode\ADMIN_couponCodes.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\fd\resources\HTML\Admin\couponCodes.php", "PHP", 0, 0, 20, 0, 0, 0, 1, 0, 21
"c:\xampp\htdocs\fd\resources\HTML\Admin\designs.php", "PHP", 0, 0, 29, 0, 0, 0, 94, 3, 126
"c:\xampp\htdocs\fd\resources\HTML\Admin\designs\ADMIN_designs.css", "CSS", 75, 0, 0, 0, 0, 0, 0, 0, 75
"c:\xampp\htdocs\fd\resources\HTML\Admin\designs\ADMIN_designs.scss", "SCSS", 0, 77, 0, 0, 0, 0, 12, 1, 90
"c:\xampp\htdocs\fd\resources\HTML\Admin\images.php", "PHP", 0, 0, 27, 0, 0, 0, 1, 5, 33
"c:\xampp\htdocs\fd\resources\HTML\Admin\index.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\xampp\htdocs\fd\resources\HTML\Admin\index\ADMIN_index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\fd\resources\HTML\Admin\inventory.php", "PHP", 0, 0, 27, 0, 0, 0, 7, 7, 41
"c:\xampp\htdocs\fd\resources\HTML\Admin\inventory\ADMIN_inventory.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\fd\resources\HTML\Admin\orderOverview.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 4, 26
