"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\3D\3DHelper.js", "JavaScript", 157, 13, 18, 188
"c:\xampp\htdocs\fd\resources\js\3D\commonJS\drawDOMElement_3D.js", "JavaScript", 40, 42, 12, 94
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\Core.js", "JavaScript", 171, 105, 9, 285
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\animations.js", "JavaScript", 247, 28, 6, 281
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\communication.js", "JavaScript", 163, 1, 18, 182
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\light.js", "JavaScript", 67, 52, 18, 137
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\_index_light_copy.js", "JavaScript", 59, 53, 18, 130
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\Core.js", "JavaScript", 149, 7, 13, 169
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\light.js", "JavaScript", 74, 53, 19, 146
"c:\xampp\htdocs\fd\resources\js\3D\modules\_old\textures.js", "JavaScript", 0, 26, 4, 30
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\lighter.js", "JavaScript", 204, 363, 28, 595
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\materials.js", "JavaScript", 143, 88, 14, 245
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\other.js", "JavaScript", 147, 44, 10, 201
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsEngraving.js", "JavaScript", 119, 147, 14, 280
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsLighterGeneral.js", "JavaScript", 224, 91, 20, 335
"c:\xampp\htdocs\fd\resources\js\3D\modules\assets\workerInterface.js", "JavaScript", 49, 15, 2, 66
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\Core.js", "JavaScript", 93, 4, 8, 105
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_bright.js", "JavaScript", 58, 53, 18, 129
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_dark.js", "JavaScript", 58, 53, 18, 129
"c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_medium.js", "JavaScript", 58, 53, 18, 129
"c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\animations.js", "JavaScript", 388, 70, 38, 496
