Date : 2024-03-16 00:48:39
Directory : c:\xampp\htdocs\fd\resources\js
Total : 178 files,  17939 codes, 3692 comments, 1695 blanks, all 23326 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |        178 |     17,939 |      3,692 |      1,695 |     23,326 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                            |        178 |     17,939 |      3,692 |      1,695 |     23,326 |
| . (Files)                                                                                    |          3 |        295 |          5 |         15 |        315 |
| 3D                                                                                           |         39 |      5,350 |      2,058 |        560 |      7,968 |
| 3D (Files)                                                                                   |          1 |        157 |         13 |         18 |        188 |
| 3D\commonJS                                                                                  |          1 |         40 |         42 |         12 |         94 |
| 3D\modules                                                                                   |         37 |      5,153 |      2,003 |        530 |      7,686 |
| 3D\modules (Files)                                                                           |          1 |         75 |         11 |         10 |         96 |
| 3D\modules\_old                                                                              |          8 |        930 |        325 |        105 |      1,360 |
| 3D\modules\_old (Files)                                                                      |          2 |         59 |         79 |         22 |        160 |
| 3D\modules\_old\NewProject                                                                   |          4 |        648 |        186 |         51 |        885 |
| 3D\modules\_old\projectNew                                                                   |          2 |        223 |         60 |         32 |        315 |
| 3D\modules\assets                                                                            |          6 |        886 |        748 |         88 |      1,722 |
| 3D\modules\assets (Files)                                                                    |          1 |         49 |         15 |          2 |         66 |
| 3D\modules\assets\materials                                                                  |          3 |        494 |        495 |         52 |      1,041 |
| 3D\modules\assets\newMaterials                                                               |          2 |        343 |        238 |         34 |        615 |
| 3D\modules\background                                                                        |          4 |        267 |        163 |         62 |        492 |
| 3D\modules\lighter                                                                           |         18 |      2,995 |        756 |        265 |      4,016 |
| 3D\modules\lighter (Files)                                                                   |          2 |        483 |         75 |         44 |        602 |
| 3D\modules\lighter\converter                                                                 |          4 |        686 |        142 |         51 |        879 |
| 3D\modules\lighter\index                                                                     |          7 |      1,102 |        432 |         91 |      1,625 |
| 3D\modules\lighter\index (Files)                                                             |          4 |        845 |        430 |         88 |      1,363 |
| 3D\modules\lighter\index\communication_funcs                                                 |          3 |        257 |          2 |          3 |        262 |
| 3D\modules\lighter\model                                                                     |          2 |        259 |          6 |         20 |        285 |
| 3D\modules\lighter\project                                                                   |          3 |        465 |        101 |         59 |        625 |
| ADMIN                                                                                        |         32 |      2,394 |        194 |        197 |      2,785 |
| ADMIN (Files)                                                                                |          1 |         43 |          4 |          6 |         53 |
| ADMIN\Designs                                                                                |          1 |        440 |         22 |         19 |        481 |
| ADMIN\assets                                                                                 |          5 |        202 |          6 |         17 |        225 |
| ADMIN\order                                                                                  |          2 |        473 |         37 |         34 |        544 |
| ADMIN\pages                                                                                  |         12 |        721 |         51 |         71 |        843 |
| ADMIN\products                                                                               |          3 |        241 |         18 |         23 |        282 |
| ADMIN\statistics                                                                             |          1 |         64 |          0 |          1 |         65 |
| ADMIN\testspace                                                                              |          7 |        210 |         56 |         26 |        292 |
| ADMIN\testspace (Files)                                                                      |          6 |        205 |         56 |         23 |        284 |
| ADMIN\testspace\stripe                                                                       |          1 |          5 |          0 |          3 |          8 |
| Checkout                                                                                     |          7 |        797 |        131 |         99 |      1,027 |
| Checkout (Files)                                                                             |          3 |        525 |        115 |         62 |        702 |
| Checkout\elements                                                                            |          4 |        272 |         16 |         37 |        325 |
| Codes                                                                                        |          1 |         46 |          0 |          4 |         50 |
| Converter                                                                                    |         48 |      5,032 |        730 |        432 |      6,194 |
| Converter (Files)                                                                            |          5 |        549 |         78 |         52 |        679 |
| Converter\DataStorage                                                                        |          6 |        452 |         17 |         15 |        484 |
| Converter\drawElements                                                                       |          2 |         40 |          2 |         12 |         54 |
| Converter\renderer                                                                           |         12 |      1,708 |        188 |        100 |      1,996 |
| Converter\renderer (Files)                                                                   |          4 |      1,013 |         87 |         45 |      1,145 |
| Converter\renderer\handler                                                                   |          3 |        138 |         14 |          5 |        157 |
| Converter\renderer\helper                                                                    |          5 |        557 |         87 |         50 |        694 |
| Converter\renderer\helper (Files)                                                            |          3 |        468 |         72 |         41 |        581 |
| Converter\renderer\helper\lines                                                              |          2 |         89 |         15 |          9 |        113 |
| Converter\toolBar                                                                            |         21 |      2,176 |        386 |        233 |      2,795 |
| Converter\toolBar (Files)                                                                    |          2 |        447 |         11 |         57 |        515 |
| Converter\toolBar\bottom                                                                     |          8 |        662 |         68 |         65 |        795 |
| Converter\toolBar\bottom (Files)                                                             |          2 |         95 |         10 |          4 |        109 |
| Converter\toolBar\bottom\draw                                                                |          6 |        567 |         58 |         61 |        686 |
| Converter\toolBar\drawParts                                                                  |          2 |        145 |         14 |         10 |        169 |
| Converter\toolBar\side                                                                       |          7 |        853 |        290 |         98 |      1,241 |
| Converter\toolBar\side (Files)                                                               |          2 |        197 |          1 |         15 |        213 |
| Converter\toolBar\side\image                                                                 |          2 |        297 |         13 |         21 |        331 |
| Converter\toolBar\side\text                                                                  |          3 |        359 |        276 |         62 |        697 |
| Converter\toolBar\tools                                                                      |          2 |         69 |          3 |          3 |         75 |
| Converter\worker                                                                             |          2 |        107 |         59 |         20 |        186 |
| Designs                                                                                      |          6 |        551 |         43 |         36 |        630 |
| Designs (Files)                                                                              |          2 |        106 |          0 |          4 |        110 |
| Designs\ImageMenu                                                                            |          4 |        445 |         43 |         32 |        520 |
| Email                                                                                        |          1 |         17 |          0 |          1 |         18 |
| GLOBAL                                                                                       |          1 |         95 |          6 |         33 |        134 |
| Helper                                                                                       |          2 |        188 |          1 |          5 |        194 |
| Login                                                                                        |          1 |         67 |         25 |          8 |        100 |
| Orders                                                                                       |          1 |         95 |          0 |          6 |        101 |
| Pages                                                                                        |          9 |        650 |         79 |         63 |        792 |
| Pages (Files)                                                                                |          3 |         68 |          6 |          8 |         82 |
| Pages\cart                                                                                   |          3 |        202 |         43 |         26 |        271 |
| Pages\index                                                                                  |          2 |        350 |         23 |         25 |        398 |
| Pages\paymentComplete                                                                        |          1 |         30 |          7 |          4 |         41 |
| Projects                                                                                     |          8 |      1,164 |        169 |        110 |      1,443 |
| Projects (Files)                                                                             |          1 |         14 |          3 |          2 |         19 |
| Projects\ProjectList                                                                         |          7 |      1,150 |        166 |        108 |      1,424 |
| Projects\ProjectList (Files)                                                                 |          4 |        540 |         84 |         37 |        661 |
| Projects\ProjectList\Details                                                                 |          3 |        610 |         82 |         71 |        763 |
| _WebWorker                                                                                   |          2 |        110 |          8 |         16 |        134 |
| assets                                                                                       |          6 |        549 |          2 |         24 |        575 |
| assets (Files)                                                                               |          5 |        413 |          2 |         17 |        432 |
| assets\product                                                                               |          1 |        136 |          0 |          7 |        143 |
| lexOffice                                                                                    |          3 |        186 |        109 |         34 |        329 |
| manager                                                                                      |          6 |        215 |        117 |         25 |        357 |
| old                                                                                          |          2 |        138 |         15 |         27 |        180 |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                     | language   | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\fd\resources\js\3D\3DHelper.js                                               | JavaScript |        157 |         13 |         18 |        188 |
| c:\xampp\htdocs\fd\resources\js\3D\commonJS\drawDOMElement_3D.js                             | JavaScript |         40 |         42 |         12 |         94 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\Core.js                           | JavaScript |        171 |        105 |          9 |        285 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\animations.js                     | JavaScript |        247 |         28 |          6 |        281 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\communication.js                  | JavaScript |        163 |          1 |         18 |        182 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\NewProject\light.js                          | JavaScript |         67 |         52 |         18 |        137 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\_index_light_copy.js                         | JavaScript |         59 |         53 |         18 |        130 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\Core.js                           | JavaScript |        149 |          7 |         13 |        169 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\projectNew\light.js                          | JavaScript |         74 |         53 |         19 |        146 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\_old\textures.js                                  | JavaScript |          0 |         26 |          4 |         30 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\lighter.js                       | JavaScript |        204 |        363 |         28 |        595 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\materials.js                     | JavaScript |        143 |         88 |         14 |        245 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\materials\other.js                         | JavaScript |        147 |         44 |         10 |        201 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsEngraving.js         | JavaScript |        119 |        147 |         14 |        280 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\newMaterials\materialsLighterGeneral.js    | JavaScript |        224 |         91 |         20 |        335 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\assets\workerInterface.js                         | JavaScript |         49 |         15 |          2 |         66 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\background\Core.js                                | JavaScript |         93 |          4 |          8 |        105 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_bright.js                        | JavaScript |         58 |         53 |         18 |        129 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_dark.js                          | JavaScript |         58 |         53 |         18 |        129 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\background\light_medium.js                        | JavaScript |         58 |         53 |         18 |        129 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\animations.js                             | JavaScript |        388 |         70 |         38 |        496 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\Core.js                         | JavaScript |        168 |         38 |         24 |        230 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\animations.js                   | JavaScript |        302 |         25 |          5 |        332 |
| c:\xampp\htdocs\fd\resources\js\3D\modules\lighter\converter\communication.js                | JavaScript |        152 |         25 |          5 |        182 |
