Date : 2024-03-16 00:50:01
Directory : c:\xampp\htdocs\fd\resources\css
Total : 89 files,  13843 codes, 2282 comments, 1004 blanks, all 17129 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| SCSS     |         89 |     13,843 |      2,282 |      1,004 |     17,129 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |         89 |     13,843 |      2,282 |      1,004 |     17,129 |
| ADMIN                                                                                  |         14 |      2,025 |        210 |        116 |      2,351 |
| ADMIN (Files)                                                                          |          2 |        161 |         10 |         10 |        181 |
| ADMIN\CouponCodes                                                                      |          2 |         93 |          2 |          7 |        102 |
| ADMIN\database                                                                         |          1 |         28 |          2 |          1 |         31 |
| ADMIN\designs                                                                          |          1 |        568 |         35 |         29 |        632 |
| ADMIN\engraving                                                                        |          1 |          3 |          2 |          1 |          6 |
| ADMIN\index                                                                            |          1 |         44 |          2 |          6 |         52 |
| ADMIN\login                                                                            |          1 |         88 |          2 |         10 |        100 |
| ADMIN\orders                                                                           |          1 |        515 |         32 |         15 |        562 |
| ADMIN\products                                                                         |          1 |        357 |        111 |         26 |        494 |
| ADMIN\statistics                                                                       |          1 |         35 |          1 |          2 |         38 |
| ADMIN\stripe                                                                           |          1 |        120 |          0 |          5 |        125 |
| ADMIN\testspace                                                                        |          1 |         13 |         11 |          4 |         28 |
| PUBLIC                                                                                 |         47 |      7,941 |      1,447 |        442 |      9,830 |
| PUBLIC (Files)                                                                         |          1 |         27 |          0 |          2 |         29 |
| PUBLIC\cart                                                                            |          3 |        712 |        109 |         26 |        847 |
| PUBLIC\checkout                                                                        |          9 |      1,176 |        241 |         83 |      1,500 |
| PUBLIC\checkout (Files)                                                                |          5 |        899 |        121 |         48 |      1,068 |
| PUBLIC\checkout\subPages                                                               |          4 |        277 |        120 |         35 |        432 |
| PUBLIC\converter                                                                       |         14 |      2,811 |        265 |        132 |      3,208 |
| PUBLIC\converter (Files)                                                               |          1 |        520 |         17 |         21 |        558 |
| PUBLIC\converterStart                                                                  |          8 |      2,296 |        424 |        104 |      2,824 |
| PUBLIC\converterStart (Files)                                                          |          2 |        546 |        153 |         28 |        727 |
| PUBLIC\converterStart\desktop                                                          |          3 |        975 |        132 |         38 |      1,145 |
| PUBLIC\converterStart\mobile                                                           |          3 |        775 |        139 |         38 |        952 |
| PUBLIC\converter\DOMConverter                                                          |          1 |         71 |          2 |          2 |         75 |
| PUBLIC\converter\elements                                                              |          4 |        516 |         32 |         30 |        578 |
| PUBLIC\converter\toolBar                                                               |          8 |      1,704 |        214 |         79 |      1,997 |
| PUBLIC\converter\toolBar (Files)                                                       |          4 |        792 |        186 |         42 |      1,020 |
| PUBLIC\converter\toolBar\bottomBar                                                     |          4 |        912 |         28 |         37 |        977 |
| PUBLIC\imprint                                                                         |          1 |         79 |         12 |          7 |         98 |
| PUBLIC\index                                                                           |          2 |        486 |        104 |         26 |        616 |
| PUBLIC\login                                                                           |          1 |         86 |          1 |          8 |         95 |
| PUBLIC\paymentComplete                                                                 |          1 |         80 |        129 |         21 |        230 |
| PUBLIC\profile                                                                         |          7 |        188 |        162 |         33 |        383 |
| PUBLIC\profile (Files)                                                                 |          1 |         34 |         82 |         22 |        138 |
| PUBLIC\profile\subPages                                                                |          6 |        154 |         80 |         11 |        245 |
| designs                                                                                |          1 |        318 |          8 |         38 |        364 |
| general                                                                                |         11 |      2,255 |        402 |        264 |      2,921 |
| general (Files)                                                                        |          7 |      1,479 |        323 |        229 |      2,031 |
| general\CookieBanner                                                                   |          1 |        270 |         20 |         13 |        303 |
